Rank;Previous Rank;First Appearance;First Rank;Name;Computer;Site;Manufacturer;Country;Year;Segment;Total Cores;Accelerator/Co-Processor Cores;Rmax [TFlop/s];Rpeak [TFlop/s];Nmax;Nhalf;HPCG [TFlop/s];Power (kW);Power Source;Power Efficiency [GFlops/Watts];Memory;Architecture;Processor;Processor Technology;Processor Speed (MHz);Operating System;OS Family;Accelerator/Co-Processor;Cores per Socket;Processor Generation;System Model;System Family;Interconnect Family;Interconnect;Continent;Site ID;System ID
368;319;52;127;TaiYi;ThinkSystem SD530, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path;Southern University of Science and Technology;Lenovo;China;2018;Academic;32 400;;1 686,54;2 488,32;3 668 352;;;;;;;Cluster;Xeon Gold 6148 20C 2.4GHz;Intel Skylake;2 400;Linux;Linux;None;20;Xeon Gold;ThinkSystem SD530;Lenovo ThinkSystem;Omnipath;Intel Omni-Path;Asia;50 793;179572
369;320;52;128;;ThinkSystem SD530, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR;Government;Lenovo;China;2018;Government;35 200;;1 684,19;2 703,36;4 110 528;;;;;;;Cluster;Xeon Gold 6148 20C 2.4GHz;Intel Skylake;2 400;CentOS;Linux;None;20;Xeon Gold;ThinkSystem SD530;Lenovo ThinkSystem;Infiniband;Infiniband EDR;Asia;50 774;179498
370;321;54;345;;ThinkSystem SD650, Xeon Gold 6240 18C 2.6GHz, Infiniband EDR;Beijing Meteorological Association;Lenovo;China;2019;Research;28 800;;1 683,37;2 695,68;6 144 000;;;;;;;Cluster;Xeon Gold 6240 18C 2.6GHz;Intel Cascade lake;2 600;Linux;Linux;None;18;Xeon Gold 62xx (Cascade Lake);ThinkSystem SD650;Lenovo ThinkSystem;Infiniband;Infiniband EDR;Asia;50 816;179758
371;322;52;129;ISystem;Sugon TC6000, Xeon E5-2650v4 12C 2.2GHz, 10G Ethernet;IIT Company;Sugon;China;2018;Industry;97 920;;1 683,00;3 446,78;6 750 000;;;1 050,00;Submitted;1,60;;Cluster;Xeon E5-2650v4 12C 2.2GHz;Intel Broadwell;2 200;CentOS;Linux;None;12;Intel Xeon E5 (Broadwell);Sugon TC6000;Sugon Cluster;Gigabit Ethernet;10G Ethernet;Asia;50 786;179541
372;323;54;240;Internet Service D;Huawei 1288H V5, Xeon Platinum 8160  24C 2.1GHz, Infiniband EDR;Internet Service J;Huawei;China;2019;Others;48 960;;1 671,37;3 290,11;3 840 000;;;524,28;Submitted;3,19;;Cluster;Xeon Platinum 8160  24C 2.1GHz;Intel Skylake;2 100;Linux;Linux;None;24;Xeon Platinum;Huawei 1288H V5;Huawei Cluster;Infiniband;Infiniband EDR;Asia;50 776;179726
373;324;45;49;Prometheus;HP Apollo 8000, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, NVIDIA Tesla K40;Cyfronet;HPE;Poland;2015;Academic;55 728;2 160;1 670,09;2 348,64;5 439 592;;39,94;807,60;Submitted;2,07;;Cluster;Xeon E5-2680v3 12C 2.5GHz;Intel Haswell;2 500;Linux;Linux;NVIDIA Tesla K40;12;Intel Xeon E5 (Haswell);Apollo 8000;HP Apollo;Infiniband;Infiniband FDR;Europe;47 634;178534
374;325;52;132;O1;ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, Infiniband FDR;Government;Lenovo;China;2018;Government;30 960;;1 668,16;2 674,94;4 063 488;;;;;;;Cluster;Xeon Gold 6150 18C 2.7GHz;Intel Skylake;2 700;Linux;Linux;None;18;Xeon Gold;ThinkSystem Flex SN550;Lenovo ThinkSystem;Infiniband;Infiniband FDR;Asia;50 774;179582
375;326;52;133;;ThinkSystem SR650, Xeon Gold 6148 20C 2.4GHz, 10G Ethernet;Internet Company;Lenovo;China;2018;Industry;41 760;;1 667,72;3 207,17;4 477 056;;;;;;;Cluster;Xeon Gold 6148 20C 2.4GHz;Intel Skylake;2 400;Linux;Linux;None;20;Xeon Gold;ThinkSystem SR650;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 598;179486
376;327;54;244;;Sugon TC6000, AMD Epyc 7501 32C 2GHz, AMD Vega 20, Infiniband HDR;Pukou Advanced Computing Center;Sugon;China;2019;Industry;100 800;89 600;1 661,00;2 472,96;582 000;;;260,00;Submitted;6,39;;Cluster;AMD Epyc 7501 32C 2GHz;AMD Zen (Naples);2 000;CentOS;Linux;AMD Vega 20;32;AMD Naples;Sugon TC6000;Sugon Cluster;Infiniband;Infiniband HDR;Asia;50 818;179801
377;328;35;112;Endeavor;Intel Cluster, Intel Xeon 6245/8280/6230/8268/8260L/8276/9242, Intel Omni-Path;Intel;Intel;United States;2011;Industry;31 524;;1 653,92;2 467,70;3 745 920;3 179 904;23,62;558,60;Submitted;2,96;;Cluster;Xeon Gold 6230 20C 2.1GHz;Intel Cascade lake;2 100;Linux;Linux;None;20;Xeon Gold 62xx (Cascade Lake);Intel Cluster;Intel Cluster;Omnipath;Intel Omni-Path;North America;49 821;176908
378;329;51;231;Internet Company T Y1;Lenovo RD450, Xeon E5-2680v4 14C 2.4GHz, 10G Ethernet;Service Provider T;Lenovo;China;2018;Industry;89 600;;1 653,22;3 440,64;6 399 936;;;;;;;Cluster;Xeon E5-2680v4 14C 2.4GHz;Intel Broadwell;2 400;Linux;Linux;None;14;Intel Xeon E5 (Broadwell);Lenovo RD450;Lenovo Cluster;Gigabit Ethernet;10G Ethernet;Asia;50 329;179361
379;331;54;248;;ThinkSystem SR570, Xeon E7-4850V3 14C 2.2GHz, 10G Ethernet;DJIT Company;Lenovo;China;2019;Industry;78 400;;1 652,49;2 759,68;7 332 096;;;;;;;Cluster;Xeon E7-4850V3 14C 2.2GHz;Intel Haswell;2 200;Linux;Linux;None;14;Intel Xeon E7 (Haswell-Ex);ThinkSystem SR570;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 787;179754
380;332;51;105;Software Company (M) AA1;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Cloud Provider;Lenovo;Australia;2017;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;Oceania;50 724;179336
381;333;52;137;Software Company (M) CA3;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Cloud Provider;Lenovo;Canada;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 726;179449
382;334;52;138;Software Company (M) CA2;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Cloud Provider;Lenovo;Canada;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 726;179450
383;335;52;139;Software Company (M) CA1;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Cloud Provider;Lenovo;Canada;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 726;179451
384;336;54;253;;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Cloud Provider;Lenovo;Canada;2019;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 726;179725
385;337;51;106;Software Company (M) A16;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179337
386;338;51;107;Software Company (M) A15;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179338
387;339;51;108;Software Company (M) A14;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179339
388;340;51;109;Software Company (M) A13;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179340
389;341;51;110;Software Company (M) A11;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179341
390;342;51;111;Software Company (M) A10;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179342
391;343;51;112;Software Company (M) A9;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179343
392;344;51;113;Software Company (M) A8;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179344
393;345;51;114;Software Company (M) A7;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179345
394;346;51;115;Software Company (M) A6;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179346
395;347;51;116;Software Company (M) A4;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179347
396;348;51;117;Software Company (M) A3;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179348
397;349;51;118;Software Company (M) A2;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2017;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179349
398;350;51;119;Software Company (M) A1;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2017;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179350
399;351;51;120;Software Company (M) A12;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179395
400;352;51;121;Software Company (M) A5;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179396
401;353;52;156;Software Company (M) A26;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179446
402;354;52;157;;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179463
403;355;52;158;;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179464
404;356;52;159;;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179465
405;357;52;160;;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179466
406;358;52;161;;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179467
407;359;52;162;;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179468
408;360;52;163;;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179469
409;361;52;164;;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179470
410;362;52;165;;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179471
411;363;52;166;;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179472
412;364;53;210;Software Company (M) A38;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179625
413;365;53;211;Software Company (M) A37;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179626
414;366;53;212;Software Company (M) A36;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179628
415;367;53;213;Software Company (M) A35;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179629
416;368;53;214;Software Company (M) A34;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179630
417;369;53;215;Software Company (M) A33;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179631
418;370;53;216;Software Company (M) A32;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179633
419;371;53;217;Software Company (M) A31;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179634
420;372;53;218;Software Company (M) A30;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179635
421;373;53;219;Software Company (M) A29;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179636
422;374;53;220;Software Company (M) A28;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet;Hosting Services;Lenovo;United States;2018;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;40G Ethernet;North America;50 171;179637
423;375;54;292;;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet;Hosting Services;Lenovo;United States;2019;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;10G Ethernet;North America;50 171;179719
424;376;54;293;;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet;Hosting Services;Lenovo;United States;2019;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;10G Ethernet;North America;50 171;179720
425;377;54;294;;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet;Hosting Services;Lenovo;United States;2019;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;10G Ethernet;North America;50 171;179721
426;378;54;295;;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet;Hosting Services;Lenovo;United States;2019;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;10G Ethernet;North America;50 171;179722
427;379;54;296;;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet;Hosting Services;Lenovo;United States;2019;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;10G Ethernet;North America;50 171;179723
428;380;54;297;;Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet;Hosting Services;Lenovo;United States;2019;Industry;57 600;;1 649,11;2 119,68;8 586 432;;;;;;;Cluster;Xeon E5-2673v4 20C 2.3GHz;Intel Broadwell;2 300;Linux;Linux;None;20;Intel Xeon E5 (Broadwell);Lenovo C1040;Lenovo Cluster;Gigabit Ethernet;10G Ethernet;North America;50 171;179724
